problem,method,c1,c2,alpha,iterations,converged,f_final,grad_norm,func_evals,time,linesearch
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2829704284667969,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20380830764770508,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2001652717590332,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20729994773864746,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2197575569152832,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20224499702453613,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,1.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20837903022766113,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,1.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21395039558410645,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,1.9,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21242189407348633,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.7,2.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21453499794006348,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,0.1,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20047569274902344,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,0.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19568395614624023,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,0.5,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.19579076766967773,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,0.7,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.21822547912597656,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,1.0,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.20673799514770508,Wolfe
P7_Extended_Rosenbrock_n2,SD_wolfe,0.0001,0.8,1.3,2000,False,6.089190851116917e-05,0.010548806622203285,19807,0.2000889778137207,Wolfe
